제품명,제조사,카테고리1,카테고리2,표준중량/규격
찰떡아이스바닐라,롯데웰푸드,과자,아이스크림,80g
찰떡아이스소금우유카라멜,롯데웰푸드,과자,아이스크림,70g
찰떡아이스옥수수크림치즈,롯데웰푸드,과자,아이스크림,70g
찰떡아이스쿠앤크,롯데웰푸드,과자,아이스크림,90g
찰떡아이스쿠키앤크림,롯데웰푸드,과자,아이스크림,90g
찰떡아이스하트딸기,롯데웰푸드,과자,아이스크림,80g
찰떡파이시트러스,롯데웰푸드,과자,비스킷/케이크,180g
찰떡파이인절미,롯데웰푸드,과자,비스킷/케이크,180g
찰떡파이초코,롯데웰푸드,과자,비스킷/케이크,210g
찰옥수수,롯데웰푸드,과자,아이스크림,140g
찰옥수수카라멜팝콘맛,기타제조사,과자,아이스크림,70g
참붕어빵,오리온,과자,비스킷/케이크,232g
참쌀누룽지,크라운제과,과자,스낵/쌀과자,216g
참쌀선과,크라운제과,과자,스낵/쌀과자,115g
참쌀설병,크라운제과,과자,스낵/쌀과자,128g
참크래커,크라운제과,과자,비스킷/쿠키,280g
청포도캔디,롯데웰푸드,과자,젤리/캔디,153g
초가을우엉차,광동제약,음료,차음료,500ml
초코가나슈,롯데웰푸드,과자,스낵,70g
초코바나나멜로바,기타제조사,과자,아이스크림,70g
초코빼빼로,롯데웰푸드,과자,초콜릿/비스킷,47g
초코빼빼로벌크,롯데웰푸드,과자,초콜릿/비스킷,180g
초코사브레,해태제과,과자,비스킷/쿠키,236g
초코송이,오리온,과자,초콜릿/비스킷,50g
초코칩미니,기타제조사,과자,스낵,90g
초코칩쿠키,기타제조사,과자,스낵,192g
초코쿠키빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
초코쿠키빼빼로벌크,롯데웰푸드,과자,초콜릿/비스킷,128g
초코파이,오리온,과자,비스킷/케이크,336g
초코파이녹차,오리온,과자,비스킷/케이크,336g
초코파이바나나,오리온,과자,비스킷/케이크,336g
초코파이카카오,오리온,과자,비스킷/케이크,336g
초코파이흑당,오리온,과자,스낵,336g
초코파이흑당밀크,오리온,과자,비스킷/케이크,336g
초코퍼지,롯데웰푸드,과자,아이스크림,70g
초코픽,동서식품,과자,비스킷/초콜릿,45g
초코필드빼빼로,롯데웰푸드,과자,초콜릿/비스킷,45g
초코하임,크라운제과,과자,비스킷/쿠키,47g
촉촉한초코칩,오리온,과자,비스킷/쿠키,160g
촉칩,오리온,과자,비스킷/쿠키,160g
추억의라멘땅,전인식품,과자,스낵,100g
츄러스,크라운제과,과자,스낵,84g
치어팩,기타제조사,과자,스낵,250g
치킨팝닭강정,오리온,과자,스낵,81g
치토스매콤달콤,롯데웰푸드,과자,스낵,164g
치토스매콤달콤(대),기타제조사,과자,젤리/캔디,164g
치토스매콤달콤(소),기타제조사,과자,젤리/캔디,82g
치토스바베큐,롯데웰푸드,과자,스낵,164g
치토스바베큐(대),기타제조사,과자,아이스크림,164g
치토스바베큐(소),기타제조사,과자,아이스크림,82g
칙촉,롯데웰푸드,과자,비스킷/쿠키,120g
칙촉벌크,롯데웰푸드,과자,스낵,180g
칠곡쿠키,기타제조사,과자,스낵,216g
칠성사이다,롯데칠성음료,음료,탄산음료,1.5L
칠성사이다(호주용),롯데칠성음료,음료,음료수,250ml
칡냉면,기타제조사,과자,스낵,70g
카라멜땅콩,크라운제과,과자,스낵,150g
카라멜콘메이플,크라운제과,과자,스낵,74g
카스타드,롯데웰푸드,과자,비스킷/케이크,276g
카카오몽쉘,롯데웰푸드,과자,스낵,204g
칸쵸,롯데웰푸드,과자,비스킷/쿠키,42g
칸쵸벌크,롯데웰푸드,과자,비스킷/쿠키,196g
칸쵸컵,롯데웰푸드,과자,비스킷/쿠키,95g
칸츄리콘,해태제과,과자,스낵,150g
칸타빌레더블망고에이드,우일씨앤텍,음료,음료수,230ml
칸타빌레딸기에이드,우일씨앤텍,음료,음료수,230ml
칸타빌레바닐라맛아메리카노,우일씨앤텍,과자,아이스크림,230g
칸타빌레복숭아아이스티,우일씨앤텍,과자,아이스크림,230g
칸타빌레블랙아메리카노,우일씨앤텍,음료,음료수,230ml
칸타빌레블루베리에이드,우일씨앤텍,음료,음료수,230ml
칸타빌레사과에이드,우일씨앤텍,음료,음료수,230ml
칸타빌레스더블망고에이드,우일씨앤텍,음료,음료수,250ml
칸타빌레스딸기에이드,우일씨앤텍,음료,과채/혼합음료,230ml
칸타빌레스바닐라향아메리카노,우일씨앤텍,음료,커피음료,230ml
칸타빌레스복숭아에이드,우일씨앤텍,음료,과채/혼합음료,230ml
칸타빌레스블랙아메리카노,우일씨앤텍,음료,음료수,250ml
칸타빌레스사과에이드,우일씨앤텍,음료,과채/혼합음료,230ml
칸타빌레스오렌지에이드,우일씨앤텍,음료,과채/혼합음료,230ml
칸타빌레스위트아메리카노,우일씨앤텍,음료,커피음료,230ml
칸타빌레스청포도에이드,우일씨앤텍,음료,과채/혼합음료,230ml
칸타빌레오렌지에이드,우일씨앤텍,음료,음료수,250ml
칸타빌레청포도에이드,우일씨앤텍,음료,음료수,230ml
칸타빌레헤이즐넛아메리카노,우일씨앤텍,음료,음료수,230ml
칸타빌레헤이즐넛향아메리카노,우일씨앤텍,음료,음료수,250ml
칸타타카라멜마끼아또,롯데칠성음료,음료,커피음료,230ml
칼로리바란스,기타제조사,과자,아이스크림,76g
칼로리바란스치즈,해태제과,과자,체중조절용/비스킷,76g
캐나다용딸기빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
캐나다용아몬드빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
캐나다용아몬드빼빼로벌크,롯데웰푸드,과자,초콜릿/비스킷,128g
캐나다용초코빼빼로,롯데웰푸드,과자,초콜릿/비스킷,47g
캐나다용초코쿠키빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
캐나다용초코필드빼빼로,롯데웰푸드,과자,초콜릿/비스킷,45g
캐나다용크런키빼빼로,롯데웰푸드,과자,초콜릿/비스킷,39g
캐나다용화이트빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
코코팜포도,해태htb,음료,과채/혼합음료,238mlx12
콘초가나슈,롯데웰푸드,과자,아이스크림,70g
콘치즈크림치즈,기타제조사,과자,아이스크림,66g
콘치크림치즈,크라운제과,과자,스낵,66g
콘칩,크라운제과,과자,스낵,70g
콩비지찌개,기타제조사,과자,스낵,70g
쿠크다스커피,크라운제과,과자,비스킷/쿠키,128g
쿠크다스화이트,크라운제과,과자,비스킷/쿠키,77g
쿠크쿠크,기타제조사,과자,스낵,70g
쿠키오초코,롯데웰푸드,과자,아이스크림,130g
크런키빼빼로,롯데웰푸드,과자,초콜릿/비스킷,39g
크런키빼빼로벌크,롯데웰푸드,과자,초콜릿/비스킷,140g
크런키빼빼로빅팩,롯데웰푸드,과자,초콜릿/비스킷,312g
크림몽쉘,롯데웰푸드,과자,스낵,408g
크림미니웨하스,크라운제과,과자,비스킷/쿠키,150g
크림웨하스,크라운제과,과자,비스킷/쿠키,50g
클린아이스얼음컵,기타제조사,과자,아이스크림,240g
톡쏘는쌀막걸리,기타제조사,과자,스낵,70g
통단팥죽,기타제조사,과자,스낵,70g
통아몬드,오리온,과자,젤리/캔디,90g
통크초코,오리온,과자,비스킷/쿠키,45g
트레비(라임),롯데칠성음료,음료,음료수,500ml
트레비(레몬),롯데칠성음료,음료,음료수,500ml
트레비(플레인),롯데칠성음료,음료,음료수,500ml
트레비라임,롯데칠성음료,음료,음료수,500ml
트레비플레인,롯데칠성음료,음료,음료수,500ml
특전복죽,기타제조사,과자,스낵,70g
티코밀크초코,롯데웰푸드,과자,아이스크림,510g
티코타크초코,롯데웰푸드,과자,아이스크림,510g
티피피넛버터볼,해태제과,과자,초콜릿,42g
평양냉면사리,기타제조사,과자,스낵,70g
포도봉봉,해태htb,음료,과채음료,238mlx12
포스틱,농심,과자,스낵,84g
포카리스웨트,동아오츠카,음료,이온/스포츠음료,1.5L
포카칩어니언,오리온,과자,스낵,66g
포카칩오리지날,오리온,과자,스낵,70g
포카칩오리지널,오리온,과자,스낵,66g
피카픽,동서식품,과자,비스킷/초콜릿,45g
하비스트,롯데웰푸드,과자,비스킷/쿠키,100g
핫식스,롯데칠성음료,음료,에너지음료,250ml
핫케잌가루,오뚜기,식품,프리믹스,500g
허니버터메이플,해태제과,과자,스낵,60g
허니버터칩,해태제과,과자,스낵,60g
허니버터칩콰트로치즈,기타제조사,과자,스낵,70g
허니버터콰트로치즈,기타제조사,과자,스낵,96g
허니버터콰트로치즈맛,해태제과,과자,스낵,96g
허니버터프로마쥬블랑,해태제과,과자,스낵,60g
헛개파워,광동제약,음료,건강음료,100ml
헤이즐넛카카오바,롯데웰푸드,과자,아이스크림,80g
헤이즐리,기타제조사,과자,스낵,70g
홈런볼9팩,해태제과,과자,스낵,414g
홈런볼소금우유,해태제과,과자,스낵,49g
홈런볼소금우유4번들,해태제과,과자,스낵,41g
홈런볼옥수수4번들,해태제과,과자,스낵,156g
홈런볼옥수수소프트콘맛,해태제과,과자,아이스크림,44g
홈런볼지컵,해태제과,과자,스낵,51g
홈런볼초코,해태제과,과자,스낵,46g
홈런볼초코벌크,해태제과,과자,스낵,128g
홈런볼초코지컵,해태제과,과자,스낵,51g
홈런볼파티팩,해태제과,음료,음료수,250ml
홈런볼파티팩(12입),해태제과,과자,스낵,552g
홈런볼피스타치오&카라멜,해태제과,과자,스낵,44g
홍삼꿀D,기타제조사,과자,스낵,100g
홍삼양갱,기타제조사,과자,스낵,70g
화이트빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
화이트빼빼로벌크,롯데웰푸드,과자,초콜릿/비스킷,128g
화이트빼빼로빅팩,롯데웰푸드,과자,스낵,256g
화이트엔젤미니팝핑스타,해태제과,과자,초콜릿,138g
화이트엔젤큐티,해태제과,과자,초콜릿,27g
화이트엔젤큐티슈,해태제과,과자,초콜릿,27g
화이트쿠키빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
화이트하임,크라운제과,과자,비스킷/쿠키,47g
환만사과식초,환만식품,식품,조미료/식초,1.8kg
환만식초,환만식품,식품,조미료/식초,1.8kg
황금보리,웅진식품,음료,차음료,500ml
후레쉬베리,오리온,과자,비스킷/케이크,336g
후레쉬베리복숭아,기타제조사,과자,스낵,336g
후렌치파이딸기,해태제과,과자,비스킷/쿠키,192g
후렌치파이사과,해태제과,과자,비스킷/쿠키,192g
후렌치파이파인애플,해태제과,과자,스낵,70g
