제품명,제조사,카테고리1,카테고리2,표준중량/규격
다이제(롤),오리온,과자,비스킷/쿠키,194g
다이제초코(롤),오리온,과자,비스킷/쿠키,225g
닥터페퍼,코카-콜라음료,음료,탄산음료,355ml
닥터페퍼제로,코카-콜라음료,음료,탄산음료,355ml
단호박죽,기타제조사,과자,스낵,70g
닭다리너겟,농심,과자,스낵,130g
닭다리스낵,농심,과자,스낵,280g
닭다리핫술불바베큐,농심,과자,아이스크림,66g
닭다리핫숯불바베큐,농심,과자,스낵,66g
닭다리후라이드,농심,과자,스낵,66g
대추쌍화,광동제약,음료,건강음료,150ml
대추쌍화진,광동제약,음료,건강음료,250ml
더블더블딸기&사과,기타제조사,과자,스낵,70g
더블더블슬러쉬,기타제조사,과자,스낵,70g
더블비얀코,롯데웰푸드,과자,아이스크림,210g
더블비얀코베리&베리,롯데웰푸드,과자,아이스크림,185g
더블비얀코트리플바닐라&딸기,기타제조사,과자,아이스크림,230g
더블비얀코트리플피넛&초코,기타제조사,과자,스낵,230g
더진한헛개차골드라벨,광동제약,음료,음료수,500ml
데미소다복숭아,동아오츠카,음료,탄산음료,250mlx6
데미소다애플,동아오츠카,음료,탄산음료,250mlx6
데미소다청포도,동아오츠카,음료,탄산음료,250mlx6
데미소다피치,동아오츠카,음료,탄산음료,250mlx6
도리토스나초치즈맛(소),롯데웰푸드,과자,스낵,84g
도리토스나쵸치즈맛(대),기타제조사,과자,스낵,172g
도리토스나쵸치즈맛(소),기타제조사,과자,스낵,84g
돼지감자차,기타제조사,음료,음료수,500ml
돼지바,롯데웰푸드,과자,아이스크림,70g
돼지바빵,롯데웰푸드,과자,아이스크림,70g
돼지바저당,롯데웰푸드,과자,아이스크림,70g
돼지콘,롯데웰푸드,과자,아이스크림,160g
딸기미니웨하스,크라운제과,과자,비스킷/쿠키,150g
딸기빼빼로,롯데웰푸드,과자,초콜릿/비스킷,32g
딸기웨하스,크라운제과,과자,비스킷/쿠키,50g
딸기카스타드,롯데웰푸드,과자,스낵,230g
땅콩강정,오리온,과자,스낵,80g
땅콩카라멜,크라운제과,과자,젤리/캔디,120g
떳다떡볶이스낵,해태제과,과자,스낵,105g
떳다왕짱,해태제과,과자,스낵,220g
라멘뽀식이,기타제조사,과자,스낵,70g
레츠비마일드,롯데칠성음료,음료,커피음료,175ml
레츠비마일드(미주용),롯데칠성음료,음료,음료수,250ml
레츠비마일드(호주용),롯데칠성음료,음료,음료수,250ml
레츠비모카라떼,롯데칠성음료,음료,커피음료,175ml
레츠비카페타임라떼,롯데칠성음료,음료,커피음료,240ml
롤리팝아이스,롯데웰푸드,과자,젤리/캔디,132g
롤리폴리,해태제과,과자,비스킷/쿠키,62g
