item_code,item_name,manufacturer_id,manufacturer_name,category_1,category_2,volume_value,volume_unit,standard_volume,default_pack_qty,difficulty_tier,benchmark_speed_hr
ITM-0050,광동헛개파워,MFG-004,광동제약,음료,숙취해소음료,100,ml,100ml,41,고난이도 (32개 이상),408.0
ITM-0051,광동홈삼꿀D,MFG-004,광동제약,음료,건강음료,100,ml,100ml,100,고난이도 (32개 이상),384.6
ITM-0052,구운감자,MFG-002,해태제과,과자,스낵,135,g,135g,16,중난이도 (16~31개),180.0
ITM-0053,구운감자슬림,MFG-002,해태제과,과자,스낵,240,g,240g,14,저난이도 (16개 미만),372.8
ITM-0054,구운감자케이스,MFG-002,해태제과,과자,스낵,108,g,108g,16,중난이도 (16~31개),180.0
ITM-0055,구운고구마,MFG-002,해태제과,과자,스낵,135,g,135g,16,중난이도 (16~31개),180.0
ITM-0056,구운양파,MFG-002,해태제과,과자,스낵,110,g,110g,16,중난이도 (16~31개),180.0
ITM-0057,구워만든곡물그대로21,MFG-027,개미식품,과자,스낵,180,g,180g,16,중난이도 (16~31개),516.1
ITM-0058,국화빵멀티,MFG-001,롯데웰푸드,과자,아이스크림,750,g,750g,6,저난이도 (16개 미만),531.6
ITM-0059,국화빵식물성오리지날,MFG-001,롯데웰푸드,과자,아이스크림,150,g,150g,24,중난이도 (16~31개),327.0
ITM-0060,국화빵찰떡모나카,MFG-001,롯데웰푸드,과자,아이스크림,150,g,150g,24,중난이도 (16~31개),606.3
ITM-0061,김부각맛칩,MFG-002,해태제과,과자,스낵,120,g,120g,16,중난이도 (16~31개),441.4
ITM-0062,까스활명수,MFG-028,동화약품,음료,의약외품/건강음료,75,10입 번들,75x10,6,저난이도 (16개 미만),463.0
ITM-0063,꼬깔콘고소한맛,MFG-001,롯데웰푸드,과자,스낵,67,g,67g,16,중난이도 (16~31개),180.0
ITM-0064,꼬깔콘군옥수수,MFG-001,롯데웰푸드,과자,스낵,67,g,67g,16,중난이도 (16~31개),180.0
ITM-0065,꼬깔콘매콤달콤,MFG-001,롯데웰푸드,과자,스낵,67,g,67g,12,저난이도 (16개 미만),490.0
ITM-0066,꼬북칩초코츄러스,MFG-005,오리온,과자,스낵,160,g,160g,14,저난이도 (16개 미만),458.4
ITM-0067,꼬북칩카라멜,MFG-005,오리온,과자,스낵,160,g,160g,14,저난이도 (16개 미만),583.3
ITM-0068,꼬북칩콘스프,MFG-005,오리온,과자,스낵,80,g,80g,12,저난이도 (16개 미만),508.5
ITM-0069,꿀꽈배기,MFG-009,농심,과자,스낵,300,g,300g,8,저난이도 (16개 미만),342.9
ITM-0070,나랑드사이다,MFG-011,동아오츠카,음료,탄산음료,1.5,L,1.5L,16,중난이도 (16~31개),180.0
ITM-0071,나랑드사이다그린애플,MFG-011,동아오츠카,음료,탄산음료,245,6입 번들,245x6,16,중난이도 (16~31개),180.0
ITM-0072,나랑드사이다파인애플,MFG-011,동아오츠카,음료,탄산음료,245,6입 번들,245x6,23,중난이도 (16~31개),390.9
ITM-0073,내맘몰랑복숭아,MFG-018,서주,과자,젤리/캔디,50,g,50g,16,중난이도 (16~31개),180.0
ITM-0074,내맘몰랑청사과,MFG-018,서주,과자,젤리/캔디,50,g,50g,16,중난이도 (16~31개),180.0
ITM-0075,다이제(롤),MFG-005,오리온,과자,비스킷/쿠키,194,g,194g,16,중난이도 (16~31개),444.4
ITM-0076,다이제초코(롤),MFG-005,오리온,과자,비스킷/쿠키,225,g,225g,16,중난이도 (16~31개),480.0
ITM-0077,닥터페퍼,MFG-020,코카-콜라음료,음료,탄산음료,355,ml,355ml,24,중난이도 (16~31개),461.5
ITM-0078,닥터페퍼제로,MFG-020,코카-콜라음료,음료,탄산음료,355,ml,355ml,24,중난이도 (16~31개),514.3
ITM-0079,닭다리너겟,MFG-009,농심,과자,스낵,130,g,130g,12,저난이도 (16개 미만),480.0
ITM-0080,닭다리스낵,MFG-009,농심,과자,스낵,280,g,280g,16,중난이도 (16~31개),180.0
ITM-0081,닭다리핫숯불바베큐,MFG-009,농심,과자,스낵,66,g,66g,20,중난이도 (16~31개),405.9
ITM-0082,닭다리후라이드,MFG-009,농심,과자,스낵,66,g,66g,16,중난이도 (16~31개),180.0
ITM-0083,더블비얀코,MFG-001,롯데웰푸드,과자,아이스크림,210,g,210g,15,저난이도 (16개 미만),549.3
ITM-0084,더블비얀코베리&베리,MFG-001,롯데웰푸드,과자,아이스크림,185,g,185g,15,저난이도 (16개 미만),527.3
ITM-0085,데미소다복숭아,MFG-011,동아오츠카,음료,탄산음료,250,6입 번들,250x6,30,중난이도 (16~31개),600.0
ITM-0086,데미소다애플,MFG-011,동아오츠카,음료,탄산음료,250,6입 번들,250x6,16,중난이도 (16~31개),180.0
ITM-0087,데미소다청포도,MFG-011,동아오츠카,음료,탄산음료,250,6입 번들,250x6,18,중난이도 (16~31개),459.7
ITM-0088,데미소다피치,MFG-011,동아오츠카,음료,탄산음료,250,6입 번들,250x6,16,중난이도 (16~31개),180.0
ITM-0089,도리토스나초치즈맛(소),MFG-001,롯데웰푸드,과자,스낵,84,g,84g,12,저난이도 (16개 미만),375.0
ITM-0090,돼지바,MFG-001,롯데웰푸드,과자,아이스크림,70,g,70g,40,고난이도 (32개 이상),518.9
ITM-0091,돼지콘,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,24,중난이도 (16~31개),586.7
ITM-0092,딸기미니웨하스,MFG-006,크라운제과,과자,비스킷/쿠키,150,g,150g,16,중난이도 (16~31개),180.0
ITM-0093,딸기빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,40,고난이도 (32개 이상),566.0
ITM-0094,딸기웨하스,MFG-006,크라운제과,과자,비스킷/쿠키,50,g,50g,16,중난이도 (16~31개),180.0
ITM-0095,땅콩강정,MFG-005,오리온,과자,스낵,80,g,80g,14,저난이도 (16개 미만),486.5
