item_code,item_name,manufacturer_id,manufacturer_name,category_1,category_2,volume_value,volume_unit,standard_volume,default_pack_qty,difficulty_tier,benchmark_speed_hr
ITM-0217,아이스톡수박에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0218,아이스톡아메리카노블랙,MFG-007,자뎅,음료,커피음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0219,아이스톡아메리카노스위트,MFG-007,자뎅,음료,커피음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0220,아이스톡제로레몬에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0221,아이스톡제로복숭아아이스티,MFG-007,자뎅,음료,차음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0222,아이스톡청포도에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0223,아이스톡키위에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0224,아이스톡패션망고에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0225,아이쮸딸기,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,8,저난이도 (16개 미만),533.3
ITM-0226,아이쮸사과,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,8,저난이도 (16개 미만),533.3
ITM-0227,아이쮸포도,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,8,저난이도 (16개 미만),533.3
ITM-0228,알사탕,MFG-002,해태제과,과자,젤리/캔디,126,g,126g,16,중난이도 (16~31개),403.6
ITM-0229,애니타임레몬,MFG-001,롯데웰푸드,과자,젤리/캔디,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0230,애니타임밀크,MFG-001,롯데웰푸드,과자,젤리/캔디,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0231,애니타임블루마린,MFG-001,롯데웰푸드,과자,젤리/캔디,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0232,애니타임자두복숭아,MFG-001,롯데웰푸드,과자,젤리/캔디,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0233,애플샌드,MFG-006,크라운제과,과자,비스킷/쿠키,272,g,272g,16,중난이도 (16~31개),512.0
ITM-0234,야채크래커,MFG-001,롯데웰푸드,과자,비스킷/쿠키,83,g,83g,30,중난이도 (16~31개),470.1
ITM-0235,야채크래커벌크,MFG-001,롯데웰푸드,과자,비스킷/쿠키,249,g,249g,16,중난이도 (16~31개),180.0
ITM-0236,양파깡,MFG-009,농심,과자,스낵,83,g,83g,20,중난이도 (16~31개),500.0
ITM-0237,얼려먹는초코만들기,MFG-005,오리온,과자,초콜릿/DIY,38,g,38g,16,중난이도 (16~31개),180.0
ITM-0238,엄마손파이,MFG-001,롯데웰푸드,과자,비스킷/쿠키,127,g,127g,14,저난이도 (16개 미만),387.0
ITM-0239,에이스,MFG-002,해태제과,과자,비스킷/쿠키,121,g,121g,22,중난이도 (16~31개),403.4
ITM-0240,에이스바스크치즈,MFG-002,해태제과,과자,비스킷/쿠키,364,g,364g,16,중난이도 (16~31개),180.0
ITM-0241,에이스씬에스프레소,MFG-002,해태제과,과자,비스킷/쿠키,291,g,291g,13,저난이도 (16개 미만),433.5
ITM-0242,연양갱,MFG-002,해태제과,과자,젤리/양갱,55,g,55g,48,고난이도 (32개 이상),409.5
ITM-0243,연양갱10팩,MFG-002,해태제과,과자,젤리/양갱,500,g,500g,16,중난이도 (16~31개),180.0
ITM-0244,예감오리지날,MFG-005,오리온,과자,스낵/비스킷,64,g,64g,16,중난이도 (16~31개),180.0
ITM-0245,예감치즈,MFG-005,오리온,과자,스낵/비스킷,64,g,64g,16,중난이도 (16~31개),180.0
ITM-0246,예쓰피스타치오&초코,MFG-002,해태제과,과자,비스킷/케이크,280,g,280g,12,저난이도 (16개 미만),437.8
ITM-0247,오곡쿠키,MFG-006,크라운제과,과자,비스킷/쿠키,288,g,288g,12,저난이도 (16개 미만),342.9
ITM-0248,오뜨쇼콜라,MFG-005,오리온,과자,비스킷/케이크,150,g,150g,16,중난이도 (16~31개),180.0
ITM-0249,오라떼애플,MFG-011,동아오츠카,음료,혼합음료,240,ml,240ml,30,중난이도 (16~31개),461.5
ITM-0250,오라떼피치,MFG-011,동아오츠카,음료,혼합음료,240,ml,240ml,30,중난이도 (16~31개),461.5
ITM-0251,오란씨오렌지,MFG-011,동아오츠카,음료,탄산음료,1.5,L,1.5L,15,저난이도 (16개 미만),448.0
ITM-0252,오란씨파인애플,MFG-011,동아오츠카,음료,탄산음료,1.5,L,1.5L,12,저난이도 (16개 미만),436.2
ITM-0253,오로나민C,MFG-011,동아오츠카,음료,탄산/건강음료,120,10입 번들,120x10,5,저난이도 (16개 미만),800.0
ITM-0254,오리온샌드나,MFG-005,오리온,과자,비스킷/쿠키,77,g,77g,16,중난이도 (16~31개),180.0
ITM-0255,오리지날크래커,MFG-002,해태제과,과자,비스킷/쿠키,172,g,172g,16,중난이도 (16~31개),180.0
ITM-0256,오리지널꽈배기,MFG-009,농심,과자,스낵,285,g,285g,12,저난이도 (16개 미만),500.0
ITM-0257,오사쯔,MFG-002,해태제과,과자,스낵,100,g,100g,11,저난이도 (16개 미만),393.8
ITM-0258,오예스,MFG-002,해태제과,과자,비스킷/케이크,360,g,360g,10,저난이도 (16개 미만),328.4
ITM-0259,오예스미니,MFG-002,해태제과,과자,비스킷/케이크,192,g,192g,16,중난이도 (16~31개),180.0
ITM-0260,오예스쿠키앤크림,MFG-002,해태제과,과자,비스킷/케이크,360,g,360g,10,저난이도 (16개 미만),404.3
ITM-0261,옥동자밀크,MFG-001,롯데웰푸드,과자,아이스크림,70,g,70g,16,중난이도 (16~31개),180.0
ITM-0262,와우소다,MFG-005,오리온,과자,껌,21,g,21g,60,고난이도 (32개 이상),571.4
ITM-0263,와일드바디,MFG-001,롯데웰푸드,과자,아이스크림,70,g,70g,40,고난이도 (32개 이상),478.6
ITM-0264,왓따복숭아,MFG-001,롯데웰푸드,과자,껌,23,g,23g,144,고난이도 (32개 이상),496.6
ITM-0265,왓따콜라,MFG-001,롯데웰푸드,과자,껌,23,g,23g,144,고난이도 (32개 이상),496.6
ITM-0266,왕꿈틀이,MFG-005,오리온,과자,젤리/캔디,67,g,67g,40,고난이도 (32개 이상),433.3
ITM-0267,요구르트젤리,MFG-001,롯데웰푸드,과자,젤리/캔디,50,g,50g,31,중난이도 (16~31개),467.3
ITM-0268,월드콘바닐라,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,16,중난이도 (16~31개),180.0
ITM-0269,월드콘초코,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,24,중난이도 (16~31개),800.0
ITM-0270,월드콘쿠키앤크림,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,24,중난이도 (16~31개),518.4
ITM-0271,웰치스딸기맛,MFG-019,농심(수입),음료,탄산음료,355,ml,355ml,24,중난이도 (16~31개),355.6
ITM-0272,웰치스적포도,MFG-019,농심(수입),음료,탄산음료,355,ml,355ml,16,중난이도 (16~31개),180.0
ITM-0273,웰치스청포도,MFG-019,농심(수입),음료,탄산음료,355,ml,355ml,16,중난이도 (16~31개),180.0
ITM-0274,일품팥빙수,MFG-001,롯데웰푸드,과자,아이스크림,240,g,240g,16,중난이도 (16~31개),180.0
ITM-0275,잇츠와플바닐라,MFG-001,롯데웰푸드,과자,아이스크림,140,g,140g,24,중난이도 (16~31개),800.0
ITM-0276,자가비짭짤한맛,MFG-002,해태제과,과자,스낵,90,g,90g,12,저난이도 (16개 미만),496.6
ITM-0277,자두,MFG-002,해태제과,과자,젤리/캔디,130,g,130g,16,중난이도 (16~31개),452.9
ITM-0278,자두젤리,MFG-002,해태제과,과자,젤리/캔디,64,g,64g,32,고난이도 (32개 이상),309.7
ITM-0279,자두캔디,MFG-002,해태제과,과자,젤리/캔디,130,g,130g,16,중난이도 (16~31개),401.9
ITM-0280,자유시간,MFG-002,해태제과,과자,초콜릿,36,g,36g,144,고난이도 (32개 이상),459.0
ITM-0281,자유시간미니피스타치오&카다,MFG-002,해태제과,과자,초콜릿,300,g,300g,11,저난이도 (16개 미만),364.8
ITM-0282,자유시간아몬드,MFG-002,해태제과,과자,초콜릿,36,g,36g,16,중난이도 (16~31개),180.0
ITM-0283,자유시간아몬드벌크,MFG-002,해태제과,과자,초콜릿,36,g,36g,12,저난이도 (16개 미만),324.3
ITM-0284,자유시간쿠키앤크림,MFG-002,해태제과,과자,초콜릿,30,g,30g,144,고난이도 (32개 이상),360.0
ITM-0285,자일리톨아이스민트,MFG-001,롯데웰푸드,과자,껌,100,g,100g,16,중난이도 (16~31개),180.0
ITM-0286,자일리톨알파알로에베라,MFG-001,롯데웰푸드,과자,껌,86,g,86g,16,중난이도 (16~31개),180.0
ITM-0287,자일리톨알파오리지널,MFG-001,롯데웰푸드,과자,껌,86,g,86g,16,중난이도 (16~31개),394.8
ITM-0288,자일리톨알파후레쉬,MFG-001,롯데웰푸드,과자,껌,86,g,86g,16,중난이도 (16~31개),180.0
ITM-0289,자일리톨애플민트,MFG-001,롯데웰푸드,과자,껌,100,g,100g,16,중난이도 (16~31개),180.0
ITM-0290,제로라이스쿠키&크림바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,24,중난이도 (16~31개),363.6
ITM-0291,제로모나카,MFG-001,롯데웰푸드,과자,아이스크림,140,g,140g,24,중난이도 (16~31개),464.5
ITM-0292,제로시트러스유자젤리,MFG-001,롯데웰푸드,과자,젤리/캔디,238,g,238g,16,중난이도 (16~31개),180.0
ITM-0293,제로초콜릿칩쿠키,MFG-001,롯데웰푸드,과자,비스킷/쿠키,168,g,168g,12,저난이도 (16개 미만),580.6
ITM-0294,제로쿠앤크샌드,MFG-001,롯데웰푸드,과자,아이스크림,288,g,288g,12,저난이도 (16개 미만),580.6
ITM-0295,제로후르츠젤리,MFG-001,롯데웰푸드,과자,젤리/캔디,238,g,238g,16,중난이도 (16~31개),180.0
ITM-0296,제주감귤,MFG-008,롯데칠성음료,음료,과채음료,1.5,L,1.5L,12,저난이도 (16개 미만),500.4
ITM-0297,조이그릭요거트블루베리,MFG-001,롯데웰푸드,과자,아이스크림,85,g,85g,40,고난이도 (32개 이상),653.1
ITM-0298,조이그릭요거트스트로베리,MFG-001,롯데웰푸드,과자,아이스크림,85,g,85g,40,고난이도 (32개 이상),653.1
ITM-0299,조이망고바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,16,중난이도 (16~31개),180.0
ITM-0300,조청유과,MFG-009,농심,과자,스낵,320,g,320g,10,저난이도 (16개 미만),428.6
ITM-0301,졸음번쩍껌,MFG-001,롯데웰푸드,과자,껌,87,g,87g,24,중난이도 (16~31개),420.0
ITM-0302,죠리퐁,MFG-006,크라운제과,과자,스낵,74,g,74g,15,저난이도 (16개 미만),441.0
ITM-0303,죠스바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,40,고난이도 (32개 이상),634.9
ITM-0304,죠스바젤리,MFG-001,롯데웰푸드,과자,젤리/캔디,70,g,70g,16,중난이도 (16~31개),180.0
ITM-0305,주물러콜라,MFG-001,롯데웰푸드,과자,아이스크림,130,g,130g,16,중난이도 (16~31개),180.0
ITM-0306,쫄병스낵매콤한맛,MFG-009,농심,과자,스낵,82,g,82g,16,중난이도 (16~31개),180.0
ITM-0307,쫄병스낵바베큐맛,MFG-009,농심,과자,스낵,82,g,82g,30,중난이도 (16~31개),473.7
ITM-0308,쫄병스낵안성탕면맛,MFG-009,농심,과자,스낵,77,g,77g,16,중난이도 (16~31개),180.0
ITM-0309,쫄병스낵짜파게티맛,MFG-009,농심,과자,스낵,77,g,77g,30,중난이도 (16~31개),465.5
ITM-0310,찰떡아이스당통팥,MFG-001,롯데웰푸드,과자,아이스크림,90,g,90g,16,중난이도 (16~31개),180.0
ITM-0311,찰떡아이스딸기,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,24,중난이도 (16~31개),480.0
ITM-0312,찰떡아이스바닐라,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,16,중난이도 (16~31개),180.0
ITM-0313,찰떡아이스쿠앤크,MFG-001,롯데웰푸드,과자,아이스크림,90,g,90g,24,중난이도 (16~31개),491.6
ITM-0314,찰떡아이스쿠키앤크림,MFG-001,롯데웰푸드,과자,아이스크림,90,g,90g,16,중난이도 (16~31개),180.0
ITM-0315,찰떡아이스하트딸기,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,16,중난이도 (16~31개),180.0
ITM-0316,찰떡파이시트러스,MFG-001,롯데웰푸드,과자,비스킷/케이크,180,g,180g,12,저난이도 (16개 미만),600.0
ITM-0317,찰떡파이인절미,MFG-001,롯데웰푸드,과자,비스킷/케이크,180,g,180g,12,저난이도 (16개 미만),517.6
ITM-0318,찰떡파이초코,MFG-001,롯데웰푸드,과자,비스킷/케이크,210,g,210g,16,중난이도 (16~31개),180.0
ITM-0319,찰옥수수,MFG-001,롯데웰푸드,과자,아이스크림,140,g,140g,24,중난이도 (16~31개),490.7
ITM-0320,참붕어빵,MFG-005,오리온,과자,비스킷/케이크,232,g,232g,8,저난이도 (16개 미만),627.8
ITM-0321,참쌀누룽지,MFG-006,크라운제과,과자,스낵/쌀과자,216,g,216g,10,저난이도 (16개 미만),411.8
ITM-0322,참쌀선과,MFG-006,크라운제과,과자,스낵/쌀과자,115,g,115g,20,중난이도 (16~31개),440.7
ITM-0323,참쌀설병,MFG-006,크라운제과,과자,스낵/쌀과자,128,g,128g,20,중난이도 (16~31개),444.4
ITM-0324,참크래커,MFG-006,크라운제과,과자,비스킷/쿠키,280,g,280g,16,중난이도 (16~31개),180.0
ITM-0325,청포도캔디,MFG-001,롯데웰푸드,과자,젤리/캔디,153,g,153g,16,중난이도 (16~31개),180.0
ITM-0326,초가을우엉차,MFG-004,광동제약,음료,차음료,500,ml,500ml,24,중난이도 (16~31개),360.0
ITM-0327,초코빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,47,g,47g,36,고난이도 (32개 이상),539.5
ITM-0328,초코빼빼로벌크,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,180,g,180g,16,중난이도 (16~31개),180.0
ITM-0329,초코사브레,MFG-002,해태제과,과자,비스킷/쿠키,236,g,236g,10,저난이도 (16개 미만),405.4
ITM-0330,초코송이,MFG-005,오리온,과자,초콜릿/비스킷,50,g,50g,28,중난이도 (16~31개),464.2
ITM-0331,초코쿠키빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,16,중난이도 (16~31개),180.0
ITM-0332,초코쿠키빼빼로벌크,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,128,g,128g,9,저난이도 (16개 미만),450.0
ITM-0333,초코파이,MFG-005,오리온,과자,비스킷/케이크,336,g,336g,10,저난이도 (16개 미만),473.9
ITM-0334,초코파이녹차,MFG-005,오리온,과자,비스킷/케이크,336,g,336g,16,중난이도 (16~31개),180.0
ITM-0335,초코파이바나나,MFG-005,오리온,과자,비스킷/케이크,336,g,336g,16,중난이도 (16~31개),180.0
ITM-0336,초코파이카카오,MFG-005,오리온,과자,비스킷/케이크,336,g,336g,16,중난이도 (16~31개),180.0
ITM-0337,초코파이흑당밀크,MFG-005,오리온,과자,비스킷/케이크,336,g,336g,16,중난이도 (16~31개),180.0
ITM-0338,초코퍼지,MFG-001,롯데웰푸드,과자,아이스크림,70,g,70g,40,고난이도 (32개 이상),557.0
ITM-0339,초코픽,MFG-024,동서식품,과자,비스킷/초콜릿,45,g,45g,24,중난이도 (16~31개),422.4
ITM-0340,초코필드빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,45,g,45g,16,중난이도 (16~31개),180.0
ITM-0341,초코하임,MFG-006,크라운제과,과자,비스킷/쿠키,47,g,47g,19,중난이도 (16~31개),441.0
ITM-0342,촉칩,MFG-005,오리온,과자,비스킷/쿠키,160,g,160g,16,중난이도 (16~31개),180.0
ITM-0343,추억의라멘땅,MFG-030,전인식품,과자,스낵,100,g,100g,20,중난이도 (16~31개),365.9
ITM-0344,츄러스,MFG-006,크라운제과,과자,스낵,84,g,84g,16,중난이도 (16~31개),423.1
ITM-0345,치킨팝닭강정,MFG-005,오리온,과자,스낵,81,g,81g,16,중난이도 (16~31개),400.0
ITM-0346,치토스매콤달콤,MFG-001,롯데웰푸드,과자,스낵,164,g,164g,16,중난이도 (16~31개),180.0
ITM-0347,치토스바베큐,MFG-001,롯데웰푸드,과자,스낵,164,g,164g,12,저난이도 (16개 미만),480.9
ITM-0348,칙촉,MFG-001,롯데웰푸드,과자,비스킷/쿠키,120,g,120g,14,저난이도 (16개 미만),464.4
ITM-0349,칠성사이다,MFG-008,롯데칠성음료,음료,탄산음료,1.5,L,1.5L,15,저난이도 (16개 미만),421.6
ITM-0350,카라멜땅콩,MFG-006,크라운제과,과자,스낵,150,g,150g,16,중난이도 (16~31개),180.0
ITM-0351,카라멜콘메이플,MFG-006,크라운제과,과자,스낵,74,g,74g,16,중난이도 (16~31개),180.0
ITM-0352,카스타드,MFG-001,롯데웰푸드,과자,비스킷/케이크,276,g,276g,11,저난이도 (16개 미만),480.1
ITM-0353,칸쵸,MFG-001,롯데웰푸드,과자,비스킷/쿠키,42,g,42g,34,고난이도 (32개 이상),525.1
ITM-0354,칸쵸벌크,MFG-001,롯데웰푸드,과자,비스킷/쿠키,196,g,196g,16,중난이도 (16~31개),180.0
ITM-0355,칸쵸컵,MFG-001,롯데웰푸드,과자,비스킷/쿠키,95,g,95g,15,저난이도 (16개 미만),483.3
ITM-0356,칸츄리콘,MFG-002,해태제과,과자,스낵,150,g,150g,13,저난이도 (16개 미만),433.3
ITM-0357,칸타빌레스딸기에이드,MFG-016,우일씨앤텍,음료,과채/혼합음료,230,ml,230ml,50,고난이도 (32개 이상),392.2
ITM-0358,칸타빌레스바닐라향아메리카노,MFG-016,우일씨앤텍,음료,커피음료,230,ml,230ml,50,고난이도 (32개 이상),392.2
ITM-0359,칸타빌레스복숭아에이드,MFG-016,우일씨앤텍,음료,과채/혼합음료,230,ml,230ml,50,고난이도 (32개 이상),392.2
ITM-0360,칸타빌레스사과에이드,MFG-016,우일씨앤텍,음료,과채/혼합음료,230,ml,230ml,50,고난이도 (32개 이상),392.2
ITM-0361,칸타빌레스오렌지에이드,MFG-016,우일씨앤텍,음료,과채/혼합음료,230,ml,230ml,50,고난이도 (32개 이상),392.2
ITM-0362,칸타빌레스위트아메리카노,MFG-016,우일씨앤텍,음료,커피음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0363,칸타빌레스청포도에이드,MFG-016,우일씨앤텍,음료,과채/혼합음료,230,ml,230ml,50,고난이도 (32개 이상),392.2
ITM-0364,칸타타카라멜마끼아또,MFG-008,롯데칠성음료,음료,커피음료,230,ml,230ml,50,고난이도 (32개 이상),363.6
ITM-0365,칼로리바란스치즈,MFG-002,해태제과,과자,체중조절용/비스킷,76,g,76g,16,중난이도 (16~31개),180.0
ITM-0366,캐나다용딸기빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,16,중난이도 (16~31개),180.0
ITM-0367,캐나다용아몬드빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,16,중난이도 (16~31개),180.0
ITM-0368,캐나다용아몬드빼빼로벌크,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,128,g,128g,9,저난이도 (16개 미만),607.5
ITM-0369,캐나다용초코빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,47,g,47g,16,중난이도 (16~31개),180.0
ITM-0370,캐나다용초코쿠키빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,16,중난이도 (16~31개),180.0
ITM-0371,캐나다용초코필드빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,45,g,45g,16,중난이도 (16~31개),180.0
ITM-0372,캐나다용크런키빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,39,g,39g,16,중난이도 (16~31개),180.0
ITM-0373,캐나다용화이트빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,16,중난이도 (16~31개),180.0
ITM-0374,코코팜포도,MFG-014,해태htb,음료,과채/혼합음료,238,12입 번들,238x12,72,고난이도 (32개 이상),392.7
ITM-0375,콘치크림치즈,MFG-006,크라운제과,과자,스낵,66,g,66g,16,중난이도 (16~31개),180.0
ITM-0376,콘칩,MFG-006,크라운제과,과자,스낵,70,g,70g,15,저난이도 (16개 미만),433.7
ITM-0377,쿠크다스커피,MFG-006,크라운제과,과자,비스킷/쿠키,128,g,128g,15,저난이도 (16개 미만),439.4
ITM-0378,쿠크다스화이트,MFG-006,크라운제과,과자,비스킷/쿠키,77,g,77g,16,중난이도 (16~31개),180.0
ITM-0379,쿠키오초코,MFG-001,롯데웰푸드,과자,아이스크림,130,g,130g,24,중난이도 (16~31개),492.3
ITM-0380,크런키빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,39,g,39g,16,중난이도 (16~31개),180.0
ITM-0381,크런키빼빼로벌크,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,140,g,140g,16,중난이도 (16~31개),180.0
ITM-0382,크런키빼빼로빅팩,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,312,g,312g,6,저난이도 (16개 미만),420.0
ITM-0383,크림미니웨하스,MFG-006,크라운제과,과자,비스킷/쿠키,150,g,150g,15,저난이도 (16개 미만),500.0
ITM-0384,크림웨하스,MFG-006,크라운제과,과자,비스킷/쿠키,50,g,50g,16,중난이도 (16~31개),180.0
ITM-0385,통아몬드,MFG-005,오리온,과자,젤리/캔디,90,g,90g,14,저난이도 (16개 미만),430.8
ITM-0386,통크초코,MFG-005,오리온,과자,비스킷/쿠키,45,g,45g,20,중난이도 (16~31개),456.1
ITM-0387,티코밀크초코,MFG-001,롯데웰푸드,과자,아이스크림,510,g,510g,16,중난이도 (16~31개),180.0
ITM-0388,티코타크초코,MFG-001,롯데웰푸드,과자,아이스크림,510,g,510g,6,저난이도 (16개 미만),500.0
ITM-0389,티피피넛버터볼,MFG-002,해태제과,과자,초콜릿,42,g,42g,30,중난이도 (16~31개),357.1
ITM-0390,포도봉봉,MFG-014,해태htb,음료,과채음료,238,12입 번들,238x12,72,고난이도 (32개 이상),387.5
ITM-0391,포스틱,MFG-009,농심,과자,스낵,84,g,84g,20,중난이도 (16~31개),370.4
ITM-0392,포카리스웨트,MFG-011,동아오츠카,음료,이온/스포츠음료,1.5,L,1.5L,22,중난이도 (16~31개),475.7
ITM-0393,포카칩어니언,MFG-005,오리온,과자,스낵,66,g,66g,16,중난이도 (16~31개),180.0
ITM-0394,포카칩오리지널,MFG-005,오리온,과자,스낵,66,g,66g,16,중난이도 (16~31개),180.0
ITM-0395,피카픽,MFG-024,동서식품,과자,비스킷/초콜릿,45,g,45g,16,중난이도 (16~31개),180.0
ITM-0396,하비스트,MFG-001,롯데웰푸드,과자,비스킷/쿠키,100,g,100g,20,중난이도 (16~31개),450.0
ITM-0397,핫식스,MFG-008,롯데칠성음료,음료,에너지음료,250,ml,250ml,30,중난이도 (16~31개),375.0
ITM-0398,핫케잌가루,MFG-021,오뚜기,식품,프리믹스,500,g,500g,20,중난이도 (16~31개),500.0
ITM-0399,허니버터메이플,MFG-002,해태제과,과자,스낵,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0400,허니버터칩,MFG-002,해태제과,과자,스낵,60,g,60g,15,저난이도 (16개 미만),387.6
ITM-0401,허니버터콰트로치즈맛,MFG-002,해태제과,과자,스낵,96,g,96g,12,저난이도 (16개 미만),437.8
ITM-0402,허니버터프로마쥬블랑,MFG-002,해태제과,과자,스낵,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0403,헤이즐넛카카오바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,40,고난이도 (32개 이상),571.4
ITM-0404,홈런볼9팩,MFG-002,해태제과,과자,스낵,414,g,414g,16,중난이도 (16~31개),180.0
ITM-0405,홈런볼소금우유,MFG-002,해태제과,과자,스낵,49,g,49g,16,중난이도 (16~31개),180.0
ITM-0406,홈런볼초코,MFG-002,해태제과,과자,스낵,46,g,46g,16,중난이도 (16~31개),180.0
ITM-0407,홈런볼초코벌크,MFG-002,해태제과,과자,스낵,128,g,128g,16,중난이도 (16~31개),180.0
ITM-0408,홈런볼초코지컵,MFG-002,해태제과,과자,스낵,51,g,51g,16,중난이도 (16~31개),180.0
ITM-0409,홈런볼파티팩(12입),MFG-002,해태제과,과자,스낵,552,g,552g,8,저난이도 (16개 미만),444.4
ITM-0410,홈런볼피스타치오&카라멜,MFG-002,해태제과,과자,스낵,44,g,44g,26,중난이도 (16~31개),445.5
ITM-0411,화이트빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,35,고난이도 (32개 이상),515.8
ITM-0412,화이트빼빼로벌크,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,128,g,128g,9,저난이도 (16개 미만),484.6
ITM-0413,화이트엔젤미니팝핑스타,MFG-002,해태제과,과자,초콜릿,138,g,138g,12,저난이도 (16개 미만),266.7
ITM-0414,화이트엔젤큐티,MFG-002,해태제과,과자,초콜릿,27,g,27g,36,고난이도 (32개 이상),510.7
ITM-0415,화이트엔젤큐티슈,MFG-002,해태제과,과자,초콜릿,27,g,27g,16,중난이도 (16~31개),180.0
ITM-0416,화이트쿠키빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,16,중난이도 (16~31개),180.0
ITM-0417,화이트하임,MFG-006,크라운제과,과자,비스킷/쿠키,47,g,47g,16,중난이도 (16~31개),180.0
ITM-0418,환만사과식초,MFG-025,환만식품,식품,조미료/식초,1.8,kg,1.8kg,9,저난이도 (16개 미만),389.4
ITM-0419,환만식초,MFG-025,환만식품,식품,조미료/식초,1.8,kg,1.8kg,5,저난이도 (16개 미만),411.4
ITM-0420,황금보리,MFG-031,웅진식품,음료,차음료,500,ml,500ml,24,중난이도 (16~31개),411.4
ITM-0421,후레쉬베리,MFG-005,오리온,과자,비스킷/케이크,336,g,336g,16,중난이도 (16~31개),180.0
ITM-0422,후렌치파이딸기,MFG-002,해태제과,과자,비스킷/쿠키,192,g,192g,16,중난이도 (16~31개),180.0
ITM-0423,후렌치파이사과,MFG-002,해태제과,과자,비스킷/쿠키,192,g,192g,16,중난이도 (16~31개),180.0
ITM-0424,촉촉한초코칩,MFG-005,오리온,과자,비스킷/쿠키,,-,-,20,중난이도 (16~31개),433.3
ITM-0425,미국용 초코파이 바나나,MFG-005,오리온,과자,파이,,336,336,8,저난이도 (16개 미만),470.6
ITM-0426,THE 빠새,MFG-002,해태제과,과자,스낵,,100,100,16,중난이도 (16~31개),180.0
ITM-0427,허니버터 메이플,MFG-002,해태제과,과자,스낵,,60,60,16,중난이도 (16~31개),390.2
ITM-0428,얼려먹는 초코만들기,MFG-005,오리온,과자,초콜릿/DIY,,38,38,16,중난이도 (16~31개),180.0
ITM-0429,샌드에이스 우유크림,MFG-002,해태제과,과자,비스킷/쿠키,,204,204,14,저난이도 (16개 미만),357.0
ITM-0430,에이스씬 솔티카라멜,MFG-002,해태제과,과자,비스킷/쿠키,,291,291,16,중난이도 (16~31개),180.0
ITM-0431,에이스(시판),MFG-002,해태제과,과자,비스킷/쿠키,,364,364,11,저난이도 (16개 미만),386.2
ITM-0432,홈런볼초모(지컵),MFG-002,해태제과,과자,스낵,,51,51,24,중난이도 (16~31개),400.0
